,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
2,Atrina,MT,0.282239296,0.163449697,0.487361077,24427.49352,6525.803016,91437.39681,1723.599645,378.3151102,7852.701768,12213.74676,3262.901508,45718.6984,2015,381.228,607.3874,12751.52371,9882.359997,16670.23518,1.044030465,0.809117807,1.364874801,0.522015233,0.404558904,0.682437401,0.029896662,0.022868784,0.038576615,0.141119648,0.081724848,0.243680538,0.211853295,0.162052442,0.273361051,0.211853295,0.0199
3,Atrina,MT_20,0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,2015,457.4736,728.86488,16356.41648,12505.36604,21333.57609,1.061897786,0.811878356,1.385026925,0.530948893,0.405939178,0.692513462,0.02796906,0.021443831,0.036582184,0.141119648,0.081724848,0.243680538,0.198193949,0.151954964,0.25922814,0.198193949,0.0199
4,Atrina,MT_40,0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,2015,533.7192,850.34236,19444.86539,14722.355,25391.4319,1.068973472,0.809355407,1.395883518,0.534486736,0.404677704,0.697941759,0.027447822,0.021019657,0.036252298,0.141119648,0.081724848,0.243680538,0.194500356,0.148949191,0.256890507,0.194500356,0.0199
5,Atrina,MT_60,0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,2015,609.9648,971.81984,21638.04951,16494.40382,28295.12114,1.062795614,0.810155279,1.389770858,0.531397807,0.405077639,0.694885429,0.028189454,0.021557243,0.036980106,0.141119648,0.081724848,0.243680538,0.199755699,0.152758622,0.262047889,0.199755699,0.0199
6,Callinectes,MT,1.191246217,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,2015,796.56,1072.65698,1814.644371,167.0461464,2518.925784,0.567461407,0.052237365,0.787698786,0.283730703,0.026118683,0.393849393,0.438962043,0.316230039,4.7685027,0.595623108,0.478716277,0.741079642,0.736979537,0.530923054,8.00590614,0.736979537,0.459150262
7,Callinectes,MT_20,1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,2015,955.872,1287.188376,2137.038218,220.1352203,2982.849045,0.565618948,0.05826412,0.789483278,0.282809474,0.02913206,0.394741639,0.44728821,0.320456042,4.342203846,0.597114029,0.481055717,0.741172283,0.749083406,0.536674784,7.271984303,0.749083406,0.459150262
8,Callinectes,MT_40,1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,2015,1115.184,1501.719772,2612.351454,189.7123767,3573.953881,0.577263223,0.04192161,0.789752899,0.288631611,0.020960805,0.39487645,0.426888962,0.312030887,5.878288067,0.595623108,0.478716277,0.741079642,0.716709872,0.523873038,9.869140376,0.716709872,0.459150262
9,Callinectes,MT_60,1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,2015,1274.496,1716.251168,2866.750426,318.258464,4028.789084,0.559567422,0.062121581,0.786388345,0.279783711,0.03106079,0.393194172,0.444578638,0.316347164,4.004594204,0.595623108,0.478716277,0.741079642,0.746409318,0.531119695,6.723369439,0.746409318,0.459150262
10,Caranx,MT,0.476517896,0.455151477,0.49888733,693.1799087,602.9663606,796.890867,82.57815786,68.55000701,99.47704535,346.5899544,301.4831803,398.4454335,2015,0.8701,55.2425,52.25195855,18.73668378,67.34633253,0.150760165,0.054060089,0.194311265,0.075380082,0.027030045,0.097155633,0.016652007,0.012919783,0.046438314,0.071839916,0.068618711,0.075212336,0.231793246,0.179841286,0.646413806,0.069890376,0.99999975
11,Caranx,MT_20,0.463013068,0.436376446,0.491275603,832.8847676,703.9748032,985.4003765,96.40913295,82.05063683,113.280302,416.4423838,351.9874016,492.7001882,2015,1.04412,66.291,68.05214381,20.09946235,80.46936979,0.163413107,0.04826469,0.193230499,0.081706553,0.024132345,0.09661525,0.015342941,0.012975372,0.051947658,0.075662404,0.071309631,0.080280873,0.202781564,0.171490347,0.686571605,0.066274331,0.99999975
