,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
2,Atrina,MT,2000,4.27,4.27,4944.50714,4797.479742,6910.488465,0.404831313,0.392793451,0.565795951,0.202415657,0.196396726,0.282897976,0.000863585,0.000617901,0.000890051,0.114259305,0.066169555,0.197299025,0.007558111,0.005407886,0.007789743,0.00611952
3,Atrina,MT,2005,370.918,187.594,5928.219353,5357.893507,8122.445723,0.485372709,0.438677304,0.6650249,0.242686354,0.219338652,0.33251245,0.062568198,0.045665802,0.069228326,0.136991252,0.079334022,0.236551766,0.456731337,0.33334831,0.50534852,0.443369853
4,Atrina,MT,2006,460.838,278.6753333,6965.954539,5896.695126,8977.253491,0.570337234,0.482791664,0.73501225,0.285168617,0.241395832,0.367506125,0.066155758,0.051333963,0.078151912,0.141119648,0.081724848,0.243680538,0.468791968,0.363761984,0.553798945,0.468791968
5,Atrina,MT,2007,926.882,586.2126667,7848.262823,6479.536099,9689.750774,0.642576187,0.530511744,0.793347935,0.321288094,0.265255872,0.396673968,0.118100275,0.095655917,0.143047586,0.141119648,0.081724848,0.243680538,0.836880455,0.677835572,1.013661729,0.836880455
6,Atrina,MT,2008,499.08,628.9333333,8416.005443,6897.491908,9700.748134,0.68906009,0.564731859,0.794248344,0.344530045,0.282365929,0.397124172,0.059301292,0.051447578,0.072356736,0.141119648,0.081724848,0.243680538,0.420219957,0.364567083,0.51273325,0.420219957
7,Atrina,MT,2009,304.792,576.918,9003.08854,7248.849854,9745.703237,0.737127494,0.593499275,0.797929041,0.368563747,0.296749638,0.39896452,0.03385416,0.0312745,0.042046946,0.141119648,0.081724848,0.243680538,0.239896857,0.221616911,0.297952459,0.239896857
8,Atrina,MT,2010,383.414,395.762,9520.642759,7652.768075,10777.3487,0.779502224,0.626570063,0.88239497,0.389751112,0.313285031,0.441197485,0.040271861,0.035575911,0.050101348,0.141119648,0.081724848,0.243680538,0.285373875,0.252097505,0.355027448,0.285373875
9,Atrina,MT,2011,645.136,444.4473333,10281.93509,8300.821947,12099.45655,0.841833001,0.679629446,0.990642494,0.4209165,0.339814723,0.495321247,0.062744609,0.05331942,0.077719532,0.141119648,0.081724848,0.243680538,0.444619939,0.377831296,0.550735021,0.444619939
10,Atrina,MT,2012,564.416,530.9886667,11026.56894,8899.760389,13457.40833,0.902799866,0.728667506,1.101824739,0.451399933,0.364333753,0.550912369,0.051186911,0.041940914,0.063419236,0.141119648,0.081724848,0.243680538,0.362719943,0.297201093,0.449400465,0.362719943
11,Atrina,MT,2013,1025.9842,745.1787333,11734.9025,9425.084591,14681.37616,0.960794646,0.771678403,1.202037053,0.480397323,0.385839201,0.601018526,0.087430143,0.069883381,0.108856763,0.141119648,0.081724848,0.243680538,0.619546207,0.495206597,0.771379213,0.619546207
12,Atrina,MT,2014,414.95,668.4500667,12183.99855,9688.050218,15634.8364,0.997564367,0.793208702,1.28010157,0.498782183,0.396604351,0.640050785,0.034056964,0.026540092,0.042831116,0.141119648,0.081724848,0.243680538,0.241333963,0.188068016,0.30350923,0.241333963
13,Atrina,MT,2015,381.228,607.3874,12751.52371,9882.359997,16670.23518,1.044030465,0.809117807,1.364874801,0.522015233,0.404558904,0.682437401,0.029896662,0.022868784,0.038576615,0.141119648,0.081724848,0.243680538,0.211853295,0.162052442,0.273361051,0.211853295
14,Atrina,MT_20,2000,5.124,5.124,6228.786036,6057.564471,8721.199424,0.404387728,0.393271614,0.566201183,0.202193864,0.196635807,0.283100592,0.000822632,0.000587534,0.000845885,0.114134108,0.066097052,0.197082839,0.007207593,0.00514775,0.007411321,0.005829324
15,Atrina,MT_20,2005,445.1016,225.1128,7357.062092,6763.472744,10117.02522,0.477638116,0.439100872,0.656821542,0.238819058,0.219550436,0.328410771,0.060499911,0.043995304,0.065809624,0.134808246,0.078069805,0.232782226,0.448784943,0.326354696,0.488172099,0.428713589
16,Atrina,MT_20,2006,553.0056,334.4104,8563.642419,7425.793778,11177.65901,0.555972204,0.482100342,0.725680431,0.277986102,0.241050171,0.362840215,0.06457598,0.049474188,0.074470907,0.141119648,0.081724848,0.243680538,0.45759737,0.35058327,0.527714661,0.45759737
17,Atrina,MT_20,2007,1112.2584,703.4552,9781.554544,8158.00928,12104.14655,0.63504198,0.529637528,0.785830224,0.31752099,0.264818764,0.392915112,0.113709778,0.091890692,0.136339438,0.141119648,0.081724848,0.243680538,0.80576858,0.651154485,0.966126544,0.80576858
18,Atrina,MT_20,2008,598.896,754.72,10604.44382,8667.065069,12164.41281,0.688465926,0.562686651,0.789742854,0.344232963,0.281343325,0.394871427,0.056475946,0.049233449,0.069100208,0.141119648,0.081724848,0.243680538,0.40019903,0.348877352,0.489656891,0.40019903
19,Atrina,MT_20,2009,365.7504,692.3016,11336.22522,9125.112455,12283.34648,0.73597493,0.592424186,0.797464313,0.367987465,0.296212093,0.398732157,0.032263861,0.02977612,0.040081742,0.141119648,0.081724848,0.243680538,0.228627706,0.21099911,0.284026655,0.228627706
20,Atrina,MT_20,2010,460.0968,474.9144,12049.51885,9639.466643,13684.21747,0.782283662,0.625817293,0.888412218,0.391141831,0.312908647,0.444206109,0.038183832,0.033622441,0.047730525,0.141119648,0.081724848,0.243680538,0.270577714,0.238254856,0.33822735,0.270577714
21,Atrina,MT_20,2011,774.1632,533.3368,13043.01643,10446.33792,15419.56057,0.846783908,0.678201311,1.001074853,0.423391954,0.339100656,0.500537427,0.059354614,0.050206567,0.074108573,0.141119648,0.081724848,0.243680538,0.4205978,0.355773045,0.525147096,0.4205978
22,Atrina,MT_20,2012,677.2992,637.1864,14019.31085,11245.75335,17141.68798,0.910167283,0.730101278,1.112879495,0.455083642,0.365050639,0.556439748,0.048311875,0.039511815,0.060227108,0.141119648,0.081724848,0.243680538,0.34234691,0.279988048,0.426780457,0.34234691
23,Atrina,MT_20,2013,1231.18104,894.21448,14925.00095,11901.75807,18776.06356,0.968966857,0.772690678,1.218987078,0.484483428,0.386345339,0.609493539,0.082491187,0.06557184,0.103445309,0.141119648,0.081724848,0.243680538,0.584547849,0.464654222,0.733032645,0.584547849
24,Atrina,MT_20,2014,497.94,802.14008,15621.66909,12172.717,20060.63755,1.014196223,0.790281982,1.302384702,0.507098112,0.395140991,0.651192351,0.031874955,0.024821744,0.040906233,0.141119648,0.081724848,0.243680538,0.225871843,0.175891478,0.289869155,0.225871843
25,Atrina,MT_20,2015,457.4736,728.86488,16356.41648,12505.36604,21333.57609,1.061897786,0.811878356,1.385026925,0.530948893,0.405939178,0.692513462,0.02796906,0.021443831,0.036582184,0.141119648,0.081724848,0.243680538,0.198193949,0.151954964,0.25922814,0.198193949
26,Atrina,MT_40,2000,5.978,5.978,7354.156587,7148.082121,10282.57319,0.404291732,0.392962873,0.565280229,0.202145866,0.196481436,0.282640115,0.000812874,0.000581372,0.000836308,0.114107014,0.066081361,0.197036054,0.007123783,0.005094972,0.007329157,0.005760173
27,Atrina,MT_40,2005,519.2852,262.6316,8706.265784,7981.760905,12076.98834,0.478623378,0.438794021,0.663927464,0.239311689,0.21939701,0.331963732,0.059644997,0.042997905,0.065058977,0.135086325,0.078230846,0.233262405,0.441532459,0.318299466,0.481610384,0.422655514
28,Atrina,MT_40,2006,645.1732,390.1454667,10115.78406,8782.019533,13316.60662,0.556111065,0.48278791,0.732074968,0.278055533,0.241393955,0.366037484,0.063778862,0.048448769,0.073465243,0.141119648,0.081724848,0.243680538,0.451948849,0.343316964,0.520588338,0.451948849
