"","Genus","Ano","MT","MT_20","MT_40","MT_60"
"1","Anisotremus",2005,2.8746,3.44952,4.02444,4.59936
"2","Anisotremus",2006,5.6176,6.74112,7.86464,8.98816
"3","Anisotremus",2007,3.3078,3.96936,4.63092,5.29248
"4","Anisotremus",2008,6.3866,7.66392,8.94124,10.21856
"5","Anisotremus",2009,3.7114,4.45368,5.19596,5.93824
"6","Anisotremus",2010,4.0224,4.82688,5.63136,6.43584
"7","Anisotremus",2011,1.7352,2.08224,2.42928,2.77632
"8","Anisotremus",2012,4.6826,5.61912,6.55564,7.49216
"9","Anisotremus",2013,9.0234,10.82808,12.63276,14.43744
"10","Anisotremus",2014,10.6912,12.82944,14.96768,17.10592
"11","Anisotremus",2015,1.8414,2.20968,2.57796,2.94624
"12","Atrina",2000,4.27,5.124,5.978,6.832
"13","Atrina",2005,370.918,445.1016,519.2852,593.4688
"14","Atrina",2006,460.838,553.0056,645.1732,737.3408
"15","Atrina",2007,926.882,1112.2584,1297.6348,1483.0112
"16","Atrina",2008,499.08,598.896,698.712,798.528
"17","Atrina",2009,304.792,365.7504,426.7088,487.6672
"18","Atrina",2010,383.414,460.0968,536.7796,613.4624
"19","Atrina",2011,645.136,774.1632,903.1904,1032.2176
"20","Atrina",2012,564.416,677.2992,790.1824,903.0656
"21","Atrina",2013,1025.9842,1231.18104,1436.37788,1641.57472
"22","Atrina",2014,414.95,497.94,580.93,663.92
"23","Atrina",2015,381.228,457.4736,533.7192,609.9648
"24","Balistes",2000,10.449,12.5388,14.6286,16.7184
"25","Balistes",2005,106.5234,127.82808,149.13276,170.43744
"26","Balistes",2006,74.22225,89.0667,103.91115,118.7556
"27","Balistes",2007,54.28645,65.14374,76.00103,86.85832
"28","Balistes",2008,71.19355,85.43226,99.67097,113.90968
"29","Balistes",2009,77.4975,92.997,108.4965,123.996
"30","Balistes",2010,18.8176,22.58112,26.34464,30.10816
"31","Balistes",2011,22.69775,27.2373,31.77685,36.3164
"32","Balistes",2012,50.96515,61.15818,71.35121,81.54424
"33","Balistes",2013,52.43685,62.92422,73.41159,83.89896
"34","Balistes",2014,52.337,62.8044,73.2718,83.7392
"35","Balistes",2015,87.38358,104.860296,122.337012,139.813728
"36","Bodianus",2005,14.4367,17.32404,20.21138,23.09872
"37","Bodianus",2006,12.7747,15.32964,17.88458,20.43952
"38","Bodianus",2007,3.0341,3.64092,4.24774,4.85456
"39","Bodianus",2008,1.7978,2.15736,2.51692,2.87648
"40","Bodianus",2009,5.479,6.5748,7.6706,8.7664
"41","Bodianus",2010,6.883,8.2596,9.6362,11.0128
"42","Bodianus",2011,10.4405,12.5286,14.6167,16.7048
"43","Bodianus",2012,13.5374,16.24488,18.95236,21.65984
"44","Bodianus",2013,11.4447,13.73364,16.02258,18.31152
"45","Bodianus",2014,17.84075,21.4089,24.97705,28.5452
"46","Bodianus",2015,5.6061,6.72732,7.84854,8.96976
"47","Callinectes",2005,1957.488,2348.9856,2740.4832,3131.9808
"48","Callinectes",2006,1816.3144,2179.57728,2542.84016,2906.10304
"49","Callinectes",2007,2215.014,2658.0168,3101.0196,3544.0224
"50","Callinectes",2008,1647.474,1976.9688,2306.4636,2635.9584
"51","Callinectes",2009,2326.338,2791.6056,3256.8732,3722.1408
"52","Callinectes",2010,1866.6284,2239.95408,2613.27976,2986.60544
"53","Callinectes",2011,1669.554,2003.4648,2337.3756,2671.2864
"54","Callinectes",2012,1029.714,1235.6568,1441.5996,1647.5424
"55","Callinectes",2013,1436.844,1724.2128,2011.5816,2298.9504
"56","Callinectes",2014,984.56694,1181.480328,1378.393716,1575.307104
"57","Callinectes",2015,796.56,955.872,1115.184,1274.496
"58","Caranx",2005,140.5705,168.6846,196.7987,224.9128
"59","Caranx",2006,171.151,205.3812,239.6114,273.8416
"60","Caranx",2007,61.7058,74.04696,86.38812,98.72928
"61","Caranx",2008,30.1509,36.18108,42.21126,48.24144
"62","Caranx",2009,38.9819,46.77828,54.57466,62.37104
"63","Caranx",2010,123.002,147.6024,172.2028,196.8032
"64","Caranx",2011,173.7581,208.50972,243.26134,278.01296
"65","Caranx",2012,105.6681,126.80172,147.93534,169.06896
"66","Caranx",2013,111.3348,133.60176,155.86872,178.13568
"67","Caranx",2014,53.5226,64.22712,74.93164,85.63616
"68","Caranx",2015,0.8701,1.04412,1.21814,1.39216
"69","Carcharhinus",2005,5.8056,6.96672,8.12784,9.28896
"70","Carcharhinus",2006,3.3939,4.07268,4.75146,5.43024
"71","Carcharhinus",2007,2.6877,3.22524,3.76278,4.30032
"72","Carcharhinus",2008,1.0161,1.21932,1.42254,1.62576
"73","Carcharhinus",2010,0.021,0.0252,0.0294,0.0336
"74","Carcharhinus",2011,0.216,0.2592,0.3024,0.3456
"75","Carcharhinus",2012,5.3031,6.36372,7.42434,8.48496
"76","Carcharhinus",2013,2.7903,3.34836,3.90642,4.46448
"77","Carcharhinus",2014,4.5654,5.47848,6.39156,7.30464
"78","Carcharhinus",2015,16.8834,20.26008,23.63676,27.01344
"79","Caulolatilus",2005,25.4286,30.51432,35.60004,40.68576
"80","Caulolatilus",2006,19.1944,23.03328,26.87216,30.71104
"81","Caulolatilus",2007,35.7976,42.95712,50.11664,57.27616
"82","Caulolatilus",2008,41.858,50.2296,58.6012,66.9728
"83","Caulolatilus",2009,67.2054,80.64648,94.08756,107.52864
"84","Caulolatilus",2010,119.236,143.0832,166.9304,190.7776
"85","Caulolatilus",2011,31.9326,38.31912,44.70564,51.09216
"86","Caulolatilus",2012,60.82,72.984,85.148,97.312
"87","Caulolatilus",2013,80.126,96.1512,112.1764,128.2016
"88","Caulolatilus",2014,41.4694,49.76328,58.05716,66.35104
"89","Caulolatilus",2015,37.3652,44.83824,52.31128,59.78432
"90","Cephalopholis",2000,0.18,0.216,0.252,0.288
"91","Cephalopholis",2005,135.77955,162.93546,190.09137,217.24728
"92","Cephalopholis",2006,143.7883,172.54596,201.30362,230.06128
"93","Cephalopholis",2007,125.0893,150.10716,175.12502,200.14288
"94","Cephalopholis",2008,181.3379,217.60548,253.87306,290.14064
"95","Cephalopholis",2009,248.77075,298.5249,348.27905,398.0332
"96","Cephalopholis",2010,114.0863,136.90356,159.72082,182.53808
"97","Cephalopholis",2011,90.133,108.1596,126.1862,144.2128
"98","Cephalopholis",2012,123.3674,148.04088,172.71436,197.38784
"99","Cephalopholis",2013,128.1278,153.75336,179.37892,205.00448
"100","Cephalopholis",2014,141.01405,169.21686,197.41967,225.62248
"101","Cephalopholis",2015,229.74737,275.696844,321.646318,367.595792
"102","Dasyatis",2000,10.87,13.044,15.218,17.392
"103","Dasyatis",2005,238.20045,285.84054,333.48063,381.12072
"104","Dasyatis",2006,192.6554,231.18648,269.71756,308.24864
"105","Dasyatis",2007,176.8822,212.25864,247.63508,283.01152
"106","Dasyatis",2008,192.85075,231.4209,269.99105,308.5612
"107","Dasyatis",2009,111.4653,133.75836,156.05142,178.34448
"108","Dasyatis",2010,95.692,114.8304,133.9688,153.1072
"109","Dasyatis",2011,108.4644,130.15728,151.85016,173.54304
"110","Dasyatis",2012,169.891,203.8692,237.8474,271.8256
"111","Dasyatis",2013,98.76085,118.51302,138.26519,158.01736
"112","Dasyatis",2014,96.53895,115.84674,135.15453,154.46232
"113","Dasyatis",2015,99.2017,119.04204,138.88238,158.72272
"114","Epinephelus",2005,65.2775,78.333,91.3885,104.444
"115","Epinephelus",2006,35.4773,42.57276,49.66822,56.76368
"116","Epinephelus",2007,52.2624,62.71488,73.16736,83.61984
"117","Epinephelus",2008,70.1536,84.18432,98.21504,112.24576
"118","Epinephelus",2009,105.5084,126.61008,147.71176,168.81344
"119","Epinephelus",2010,116.7678,140.12136,163.47492,186.82848
"120","Epinephelus",2011,71.8734,86.24808,100.62276,114.99744
"121","Epinephelus",2012,61.709,74.0508,86.3926,98.7344
"122","Epinephelus",2013,150.3946,180.47352,210.55244,240.63136
"123","Epinephelus",2014,149.4021,179.28252,209.16294,239.04336
"124","Epinephelus",2015,423.57876,508.294512,593.010264,677.726016
"125","Haemulon",2005,17.6855,21.2226,24.7597,28.2968
"126","Haemulon",2006,4.9,5.88,6.86,7.84
"127","Haemulon",2007,4.085,4.902,5.719,6.536
"128","Haemulon",2009,0.275,0.33,0.385,0.44
"129","Haemulon",2010,0.665,0.798,0.931,1.064
"130","Haemulon",2011,0.187,0.2244,0.2618,0.2992
"131","Haemulon",2012,1.6515,1.9818,2.3121,2.6424
"132","Haemulon",2013,12.7415,15.2898,17.8381,20.3864
"133","Haemulon",2014,0.555,0.666,0.777,0.888
"134","Lutjanus",2005,70.2448,84.29376,98.34272,112.39168
"135","Lutjanus",2006,33.8796,40.65552,47.43144,54.20736
