"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"1","Atrina","MT",0.282239296,0.163449697,0.487361077,24427.49352,6525.803016,91437.39681,0.029896662,0.022868784,0.038576615,12751.52371,9882.359997,16670.23518,0.0199,1723.599645,378.3151102,7852.701768,12213.74676,3262.901508,45718.6984,0.141119648,0.081724848,0.243680538,22500,25000,23750,1,0,0,0,40935491.56875,8512089.9795,196317544.2
"2","Atrina","MT_20",0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,0.02796906,0.021443831,0.036582184,16356.41648,12505.36604,21333.57609,0.0199,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,0.141119648,0.081724848,0.243680538,22500,25000,23750,1,0,0,0,51624581.465,10568639.79675,251471799.75
"3","Atrina","MT_40",0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,0.027447822,0.021019657,0.036252298,19444.86539,14722.355,25391.4319,0.0199,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,0.141119648,0.081724848,0.243680538,22500,25000,23750,1,0,0,0,60966197.96375,12416438.11275,298522104.5
"4","Atrina","MT_60",0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,0.028189454,0.021557243,0.036980106,21638.04951,16494.40382,28295.12114,0.0199,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,0.141119648,0.081724848,0.243680538,22500,25000,23750,1,0,0,0,68236926.20625,13986660.222,331986317.5
"5","Callinectes","MT",1.191246217,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,0.438962043,0.316230039,4.7685027,1814.644371,167.0461464,2518.925784,0.459150262,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1,0,0,0,3333226.17075,2261471.7615,4812641.97
"6","Callinectes","MT_20",1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.44728821,0.320456042,4.342203846,2137.038218,220.1352203,2982.849045,0.459150262,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,1,0,0,0,3948059.26375,2724544.767,5604263.356
"7","Callinectes","MT_40",1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.426888962,0.312030887,5.878288067,2612.351454,189.7123767,3573.953881,0.459150262,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1,0,0,0,4717015.49025,3148999.5075,6921610.706
"8","Callinectes","MT_60",1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.444578638,0.316347164,4.004594204,2866.750426,318.258464,4028.789084,0.459150262,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1,0,0,0,5340071.24175,3527634.6795,7918732.196
"9","Cephalopholis","MT",0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,0.447449543,0.352311132,0.502352401,513.4598385,457.3430314,652.1149886,0.087442719,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,0.280649932,0.200684314,0.392479026,1000,1500,1250,1,0,0,0,198883.763625,119007.0691,319078.19985
"10","Cephalopholis","MT_20",0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,0.444103391,0.35021103,0.50145596,620.7942778,549.7927359,787.2306137,0.087442719,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,0.282762719,0.203742736,0.392429969,1000,1500,1250,1,0,0,0,241242.480875,147139.3844,379708.10775
"11","Cephalopholis","MT_40",0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,0.458970128,0.355460481,0.509204252,700.8001139,631.6646353,904.8722308,0.087442719,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,0.280649932,0.200684314,0.392479026,1000,1500,1250,1,0,0,0,276113.658875,166066.0177,440723.5359
"12","Cephalopholis","MT_60",0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,0.436228489,0.329041947,0.49729994,842.6680088,739.1832624,1117.17,0.087442719,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,0.282762719,0.203742736,0.392429969,1000,1500,1250,1,0,0,0,325312.76975,193788.7284,524257.85055
"13","Dasyatis","MT",0.282239296,0.163449697,0.487361077,2179.55281,839.5433018,5658.374551,0.184871276,0.115473772,2.47461739,536.5987732,40.0876921,859.0842572,0.262842713,153.7888628,69.15548851,341.9976465,1089.776405,419.7716509,2829.187275,0.138972783,0.080481562,0.239973406,1250,1250,1250,1,0,0,0,192236.0785,86444.3606375,427497.058125
"14","Dasyatis","MT_20",0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,0.184592651,0.115525981,2.395406085,644.8904631,49.69597463,1030.435223,0.262842713,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,0.139074052,0.080540208,0.240148273,1250,1250,1250,1,0,0,0,230863.26075,104826.2279875,508439.979125
"15","Dasyatis","MT_40",0.282239296,0.163449697,0.487361077,3038.427673,1167.772654,7905.684975,0.192451516,0.116008277,2.488487493,721.6486668,55.809957,1197.17647,0.262842713,214.390922,95.98739364,478.8489996,1519.213837,583.8863269,3952.842488,0.13406777,0.077640983,0.231503599,1250,1250,1250,1,0,0,0,267988.6525,119984.24205,598561.2495
"16","Dasyatis","MT_60",0.282239296,0.163449697,0.487361077,3465.711864,1321.176317,9091.261003,0.190728811,0.116729235,2.337936821,832.1905799,67.89008094,1359.751222,0.262842713,244.5400193,107.7499928,554.9867752,1732.855932,660.5881583,4545.630501,0.135543226,0.078495445,0.234051365,1250,1250,1250,1,0,0,0,305675.024125,134687.491,693733.469
"17","Epinephelus","MT",0.062038507,0.039696193,0.096955807,25301.96019,4836.329993,132370.866,0.026277313,0.022012025,0.032283014,16119.56166,13120.79355,19243.0622,0.250328157,392.423961,36.75302039,4190.038356,12650.98009,2418.164996,66185.433,0.031019254,0.019848096,0.048477904,2500,2500,2500,1,0,0,0,981059.9025,91882.550975,10475095.89
"18","Epinephelus","MT_20",0.062038507,0.039696193,0.096955807,31068.99277,5908.619693,163368.4958,0.025605519,0.02146503,0.031442121,19850.97472,16166.03778,23680.12125,0.250328157,481.8684843,44.68362193,5196.473028,15534.49639,2954.309847,81684.24792,0.031019254,0.019848096,0.048477904,2500,2500,2500,1,0,0,0,1204671.21075,111709.054825,12991182.57
"19","Epinephelus","MT_40",0.062038507,0.039696193,0.096955807,36551.51895,7007.578052,190652.6803,0.025374783,0.021249554,0.031122486,23370.06232,19054.07737,27906.95054,0.250328157,566.9004195,53.40645843,6017.550969,18275.75948,3503.789026,95326.34013,0.031019254,0.019848096,0.048477904,2500,2500,2500,1,0,0,0,1417251.04875,133516.146075,15043877.4225
"20","Epinephelus","MT_60",0.062038507,0.039696193,0.096955807,40965.99722,7885.354207,212826.575,0.025911041,0.021721466,0.031843928,26155.87706,21282.73948,31200.74969,0.250328157,635.3673302,60.32714831,6691.707724,20482.99861,3942.677103,106413.2875,0.031019254,0.019848096,0.048477904,2500,2500,2500,1,0,0,0,1588418.3255,150817.870775,16729269.31
"21","Lutjanus","MT",0.282239296,0.163449697,0.487361077,1240.837593,402.2709952,3827.464445,0.078344097,0.055310333,0.155708331,518.5641493,260.9137213,734.5180826,0.122491106,87.55328219,28.08181813,272.9729673,620.4187963,201.1354976,1913.732222,0.141119648,0.081724848,0.243680538,2250,2500,2375,1,0,0,0,207939.04520125,63184.0907925,682432.41825
"22","Lutjanus","MT_20",0.282239296,0.163449697,0.487361077,1469.219105,475.0846858,4543.62105,0.080794673,0.056068101,0.15677244,603.4027501,310.9712913,869.509168,0.122491106,103.6678415,33.08285588,324.8516816,734.6095525,237.5423429,2271.810525,0.141119648,0.081724848,0.243680538,2250,2500,2375,1,0,0,0,246211.1235625,74436.42573,812129.204
"23","Lutjanus","MT_40",0.282239296,0.163449697,0.487361077,1700.961905,565.9828802,5111.941551,0.081102725,0.056541366,0.158478983,701.2959919,358.8931167,1005.936369,0.122491106,120.0195727,40.51002678,355.5835179,850.4809525,282.9914401,2555.970775,0.141119648,0.081724848,0.243680538,2250,2500,2375,1,0,0,0,285046.4851625,91147.560255,888958.79475
"24","Lutjanus","MT_60",0.282239296,0.163449697,0.487361077,1927.033385,631.1378145,5883.750874,0.081423848,0.057072821,0.160614164,798.3202201,404.7109076,1138.936238,0.122491106,135.9711366,44.492278,415.5361517,963.5166926,315.5689072,2941.875437,0.141119648,0.081724848,0.243680538,2250,2500,2375,1,0,0,0,322931.449425,100107.6255,1038840.37925
"25","Micropogonias","MT",0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,0.325689235,0.227672353,0.617218269,423.0465276,223.2301066,605.1753686,1,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,109036.532175,59345.85033,200333.557875
"26","Micropogonias","MT_20",0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,0.322031482,0.224900315,0.604443866,513.421977,273.5374602,735.1614422,1,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,132477.2184,71166.18366,246608.88765
"27","Micropogonias","MT_40",0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,0.323916451,0.229392552,0.622699181,595.5065861,309.7713726,840.8920779,1,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,151674.20865,83627.77965,275088.8004
"28","Micropogonias","MT_60",0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,0.324776468,0.227179873,0.618535307,678.7767649,356.4076579,970.379623,1,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,175293.1908,95641.192125,321281.051175
"29","Mugil","MT",0.565525439,0.407485471,0.784859938,2812.149899,1426.383789,5544.221069,0.306123069,0.203937179,3.842854152,741.7735637,59.08993447,1113.450727,0.534863273,397.5855763,199.8043739,791.1452957,1406.074949,713.1918943,2772.110534,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,298189.182225,119882.62434,791145.2957
"30","Mugil","MT_20",0.565525439,0.407485471,0.784859938,3405.630433,1729.753344,6705.186429,0.301489879,0.202653563,3.632938755,903.8074537,75.00506295,1344.604043,0.534863273,481.4926611,242.6151738,955.5675316,1702.815216,864.8766718,3352.593214,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,361119.495825,145569.10428,955567.5316
