Genus,Proxyspecies ,CommonName
Anisotremus,Anisotremus interruptus,Burrito Grunt
Atrina,Atrina tuberculosa,Mollusc
Balistes,Balistes polylepis,Finescale triggerfish
Bodianus,Bodianus diplotaenia,Mexican hogfish
Callinectes,Callinectes bellicosus,Crab
Caranx,Seriola lalandi,Yellowtail amberjack
Carcharhinus,Carcharhinus limbatus,Blacktip shark
Caulolatilus,Caulolatilus princeps,Ocean whitefish
Cephalopholis,Cephalopholis cruentata,Graysby
Dasyatis,Dasyatis dipterura,Diamond Stingray
Epinephelus,Epinephelus acanthistius,Rooster Hind
Haemulon,Haemulon macrostomum,Spanish Grunt
Lutjanus,Lutjanus argentiventris,Yellow snapper
Megapitaria,Megapitaria squalida,Chocolate clam
Merluccius,Merluccius productus,North Pacific Hake
Microlepidotus,Microlepidotus inornatus,Wavyline Grunt
Micropogonias,Cynoscion othonopterus,Corvina
Mugil,Mugil curema,White mullet
Mycteroperca,Mycteroperca jordani,Gulf Grouper
Nematistius,Nematistius pectoralis,Roosterfish
Octopus,Octopus bimaculatus,Octopus
Panulirus,Panulirus inflatus,Lobster
Paralabrax,Paralabrax nebulifer,Bared sand bass
Rhinobatos,Rhinobatos productus,Shovelnose guitarfish
Scarus,Scarus perrico,Bumphead parrotfish
Scomberomorus,Scomberomorus maculatus,Mackerel
Scorpaena,Scorpaena mystes,"Pacific Spotted Scorpionfish, Stone Scorpionfish"
Sphoeroides,Sphoeroides annulatus,Bullseye puffer
Sphyraena,Sphyraena argentea,Pacific barracuda
Sphyrna,Sphyrna lewini,Scalloped hammerhead
Squatina,Squatina californica,Pacific angelshark
Strombus,Strombus gigas,Queen conch
Trachinotus,Trachinotus falcatus,Snubnose pompano
