ScientificName ,Genus,CommonName,Group,CommercialImportance,Objective,Quality,Site,Min2014,Max2014,Avg2014,Min2018,Max2018,Avg2018
Alphestes immaculatus ,Alphestes,Cabrilla marihuana,fish,Pesca artesanal,No,Segunda,RGI,$250 ,$250 ,$250 ,$0 ,$0 ,$0 
Anisotremus davidsonii,Anisotremus,Canelo,fish,Pesca artesanal,No,Segunda,RGI,$250 ,$250 ,$250 ,$500 ,$750 ,$625 
Anisotremus interruptus,Anisotremus,Burrito liso,fish,Pesca artesanal,No,Segunda,RGI,$250 ,$250 ,$250 ,$500 ,$500 ,$500 
Argopecten ventricosus,Argopecten,Almeja catarina,invertebrate,Pesca artesanal,No,Segunda,RGI,"$3,000 ","$3,000 ","$3,000 ",$0 ,$0 ,$0 
Atractoscion nobilis,Atractoscion,Cabicucho,fish,Pesca artesanal,Si,Primera,RGI,"$3,600 ","$3,600 ","$3,600 ","$5,000 ","$7,500 ","$6,250 "
Atrina maura,Atrina,Callo de redondo,invertebrate,Pesca artesanal,Si,Primera,RGI,"$7,500 ","$9,000 ","$9,000 ","$16,500 ","$17,500 ","$17,000 "
Atrina tuberculosa,Atrina,Callo de riñon,invertebrate,Pesca artesanal,Si,Primera,RGI,"$13,000 ","$15,000 ","$14,000 ","$22,500 ","$25,000 ","$23,750 "
Balistes polylepis,Balistes,Cochito,fish,Pesca artesanal,Si,Primera,RGI/Baja,$600 ,$600 ,$600 ,"$1,000 ","$1,250 ","$1,125 "
Bodianus diplotaenia,Bodianus,Vieja,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,"$1,750 ","$1,750 ","$1,750 "
Calamus brachysomus,Calamus,Mojarra blanca,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$500 ,$750 ,$625 
Callinectes arcuatus,Callinectes,Jaiba azul,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,$600 ,$800 ,$700 ,"$1,500 ","$2,000 ","$1,750 "
Callinectes bellicosus,Callinectes,Jaiba verde,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,$600 ,"$1,000 ",$800 ,"$1,500 ","$2,000 ","$1,750 "
Caranx melampygus,Caranx,Jurel azul,fish,Pesca artesanal,Si,Primera,RGI/Baja,$600 ,"$1,000 ",$800 ,"$1,750 ","$2,000 ","$1,875 "
Carcharhinus leucas,Carcharhinus,Tiburón lobero,fish,Pesca artesanal,Si,Primera,RGI,$500 ,$500 ,$500 ,$750 ,"$1,400 ","$1,075 "
Carcharhinus limbatus,Carcharhinus,Tiburón volador,fish,Pesca artesanal,Si,Primera,RGI,$500 ,$500 ,$500 ,$600 ,"$1,400 ","$1,000 "
Carcharhinus obscurus,Carcharhinus,Tiburón barroso,fish,Pesca artesanal,Si,Primera,RGI,$500 ,$500 ,$500 ,$750 ,"$1,400 ","$1,075 "
Caulolatilus affinis,Caulolatilus,Conejo,fish,Pesca artesanal,Si,Segunda,RGI/Baja,$500 ,$600 ,$550 ,"$1,000 ","$1,500 ","$1,250 "
Caulolatilus princeps,Caulolatilus,Pierna,fish,Pesca artesanal,Si,Segunda,RGI/Baja,$500 ,$600 ,$550 ,"$1,000 ","$1,200 ","$1,100 "
Cephalopholis panamensis ,Cephalopholis,Enjambre/cabrilla,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,"$1,000 ","$1,500 ","$1,250 "
Coryphaena hippurus,Coryphaena,Dorado,fish,Pesca artesanal,No,Primera,RGI/Baja,$900 ,"$1,000 ",$950 ,$0 ,$0 ,$0 
Cynoscion othonopterus,Cynoscion,Curvina golfina,fish,Pesca artesanal,No,Segunda,RGI,$600 ,$600 ,$600 ,"$1,400 ","$1,500 ","$1,450 "
Cynoscion parvipinnis,Cynoscion,Curvina aleta corta,fish,Pesca artesanal,Si,Segunda,RGI,$500 ,$600 ,$550 ,$750 ,$750 ,$750 
Cynoscion reticulatus,Cynoscion,Curvina rayada,fish,Pesca artesanal,Si,Segunda,RGI,$500 ,$600 ,$550 ,$0 ,$0 ,$0 
Dasyatis dipterura,Dasyatis,Manta arenera,fish,Pesca artesanal,Si,Primera,RGI,$900 ,"$1,000 ",$950 ,"$1,250 ","$1,250 ","$1,250 "
Diplobatis ommata,Diplobatis,Guitarra elécttrica manchada,fish,Pesca artesanal,Si,Segunda,RGI,$200 ,$200 ,$200 ,$750 ,$750 ,$750 
Dosinia ponderosa,Dosinia,Almeja reyna,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,$500 ,$600 ,$550 ,$0 ,$0 ,#VALUE!
Epinephelus analogus,Epinephelus,Pinta,fish,Pesca artesanal,No,Primera,RGI/Baja,"$2,250 ","$2,250 ","$2,250 ","$2,500 ","$3,500 ","$3,000 "
Epinephelus labriformis,Epinephelus,Cabrilla piedrera,fish,Pesca artesanal,No,Segunda,RGI/Baja,"$1,250 ","$1,250 ","$1,250 ","$2,500 ","$2,500 ","$2,500 "
Euvola vogdesi,Euvola,Almeja voladora,invertebrate,Pesca artesanal,No,Segunda,RGI,"$3,000 ","$3,000 ","$3,000 ",$0 ,$0 ,$0 
Farfantepenaeus californiensis,Farfantepenaeus,Camaron café,invertebrate,Pesca artesanal,Si,Primera,RGI,"$6,000 ","$7,500 ","$7,500 ","$5,000 ","$9,000 ","$7,000 "
Haemulon flaviguttatum,Haemulon,Rayadillo aleta amarilla,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$500 ,$500 ,$500 
Haemulon maculicauda,Haemulon,Rayadillo,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$500 ,$500 ,$500 
Haemulon scudderi,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$500 ,$500 ,$500 
Haemulon sexfasciatum,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$500 ,$500 ,$500 
Haemulon steindachneri,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$0 ,$0 ,$0 
Hexaplex erythrostomus,Hexaplex,Caracol chino rosa,invertebrate,Pesca artesanal,Si,Segunda,RGI,"$2,000 ","$2,500 ","$2,250 ","$4,000 ","$4,000 ","$4,000 "
Hexaplex nigritus,Hexaplex,Caracol chino negro,invertebrate,Pesca artesanal,Si,Segunda,RGI,"$2,000 ","$2,500 ","$2,250 ","$4,000 ","$4,000 ","$4,000 "
Hexaplex princeps,Hexaplex,Caracol chino,invertebrate,Pesca artesanal,Si,Segunda,RGI,"$2,000 ","$2,000 ","$2,000 ","$4,000 ","$4,000 ","$4,000 "
Holothuria impatiens,Holothuria,Pepino,invertebrate,Pesca artesanal,Si,Primera,RGI,"$4,000 ","$4,000 ","$4,000 ",$0 ,$0 ,$0 
