SitioDesembarque,Confirmado
Agua blanca,n
Alvarado,n
Arbolitos o puerto kennedy,n
Bahia adair,n
Bahia bachoco,?
Bahia concepcion b.c.sur.,n
Bahia de kino,y
Bahia de las animas,y
Bahia de lobos,n
Bahia de los angeles,y
Bahia de los angeles b.c.n.,y
Bahia guaymas,n
Bahia kino,y
Bahia lobos,n
Bahia san francisquito,y
Bahia san jorge,n
Bahia san rafael,n
Bahia tobari,n
Bahia venecia,n
Bahia yavaros,n
Baja venecia,n
Bajamar,n
Bajos san carlos,n
Balneario venecia,n
Bellavista,n
Boca del rio mayo,n
Bocana santo domingo,n
Ca?ada de las mujeres,? 
Cabo tepopa,y
Calamajue,y
Camalu (varadero),n
Campo lopez,n
Campo nuevo,n
Catarina,n
Coloradita o puerto escondido (i. de cedros),n
El barril,y
El barril b.c.n.,n
El cardonal,n
El choyudo,n
El chute,n
El colorado,y
El desemboque,Uncertain
El faro,n
El jaguey,n
El mero,?
El molino viejo,n
El morro,y
El muertito o punta rosarito (varadero),n
El pabellon,n
El rastro,n
El riito,n
El rosario,n
El sahuimaro,No info
El sauzal,n
El siaric,n
El socorro,n
El tecori,n
El tomatal (varadero),n
Ensenada,n
Erendira,n
Escollera de san felipe,?
Estero laguna manuela b.c.n.,n
Estero san jose,n
Estero san jose b.c.n.,n
Faro de san jose,n
Frontera,n
Golfo de santa clara,n
Guadalupe,n
Guaymas,n
Isla angel de la guarda,y
Isla de cedros,n
Isla de coronado,n
Isla de guadalupe,n
Isla guadalupe,n
Isla las animas,y
Isla san esteban,y
Jatay,n
La atanasia,n
La bandera,?
La calavera,n
La choya,n
La cinita,n
La escollera,n
La lobera,n
La manga,n
La mision,n
La puerta,n
La puntita (varadero),n
La salina,n
Laguna las flores y golfo de mexico,?
Laguna manuela,n
Laguna manuela.,n
Laguna salada,n
Las animas,y
Las palomas,n
Las playitas,y
Lit.golfo de california,Uncertain
Litoral,?
Litoral del estado,?
Los baã‘os,n
Los melagos,n
Los morros,n
Miramar,y
Molino viejo,n
Morro santo domingo,n
Muelle,n
Muelle de san felipe,?
Muelle fiscal,n
Muelle fiscal 1,n
Muelle planta pesquera tabasquena o complejo,n
No considerado,Uncertain
Null,Uncertain
Paraje nuevo,n
Paraje viejo,n
Paredon colorado,n
Paredoncito,n
Peã‘asco,n
Pesq. mexico,n
Piedra san antonio,y
Playa del sol,n
Playa salinas,n
Playa san quintin,n
Playa san ramon/camalu,n
Popotla,n
Pto. sto. tomas,n
Puertecitos,y
Puerto arbolitos,n
Puerto canoas,n
Puerto catarina,n
Puerto libertad,y
Puerto lobos,y
Puerto nuevo,n
Puerto peã‘asco,n
Puerto peñasco,n
Puerto salinaa.,n
Puerto san carlos,n
Puerto san isidro,n
Puerto san jose,n
Puerto santa catarina,n
Puerto santo tomas,n
Puerto vallarta,n
Punta arena,n
Punta azufre,n
Punta baja,n
Punta cabra,n
Punta canoas,n
Punta colonet,n
Punta cono (varadero),n
Punta del diablo (varadero),n
Punta el pescador,y
Punta escarpada (punta bluff),n
Punta final,y
Punta final (b. de los angeles),y
Punta la gringa,y
Punta rosarito,n
Punta salinas,n
Punta san antonio,n
Punta san isidro,n
Punta san jasinto,n
Punta san jose,n
Punta san jose (varadero),n
Punta san quintin,n
R. portuario pco,n
Rancho zimarron km 68,n
Rec portuario,n
Rincon de punta banda,n
Rincon punta banda,n
Rio hardy,n
Rosaliita,n
Rosalillita,n
Rosalita,n
Rosarito,n
San carlos,n
San felipe,n
San francisquito b.c.n.,n
San isidro,n
San jose,n
San juan de las pulgas (varadero),n
San luis gonzaga,y
San luis gonzaga b.c.n.,y
San miguel (b. de los angeles),y
San miguel (ensenada),n
San nicolas,y
San pedro nolasco,n
San quintin,n
San quintin (litorales),n
San rafael,n
San rafael (en bahia concepcion),n
Santa barbara,n
Santa rosalia,n
Santa rosaliita,n
Santa rosalillita,n
Santo domingo,n
Santo domingo (varadero),n
Santo tomas,n
Sitio desembarco genérico,n
Sitio emb desem generico,n
Tenencia tepuxtepec,n
Valle del yaqui,n
Valle tranquilo,n
Villa de jesus maria,n
Yavaros,n
