Genus,Scientific name Êspecie driving catch,Common name,Resilience,Percent regional catch,,,
Scomberomorus,Scomberomorus maculatus,Mackerel,Medium,37.05%,,,
Callinectes,Callinectes bellicosus,Crab,High*,24.19%,,,
Octopus,Octopus bimaculatus,Octopus,Medium*,10.54%,,,
Atrina,Atrina tuberculosa,Clam,Low*,8.15%,,,
Mugil,Mugil curema,Mullet,Medium,4.12%,,,
Cephalopholis,Cephalopholis cruentata,Graysby,Medium,2.26%,,,
Dasyatis,Dasyatis dipterura,Diamond Stingray,Low,2.17%,,,
Epinephelus,Epinephelus acanthistius,Rooster Hind,Very Low,1.77%,,,
Micropogonias,Cynoscion othonopterus,Corvina,Medium,1.68%,,,
Squatina,Squatina californica,Angel shark,Very Low,1.17%,,,
Lutjanus,Lutjanus argentiventris,Yellow Snapper,Low,0.67%,,,
Sphoeroides,Sphoeroides annulatus,Bulleye puffer,Medium,0.40%,,,
Panulirus,Panulirus inflatus,Lobster,Low*,0.29%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
